"","log_tau","logit_phi","logit_kappa","log_psi"
"1",0.114764550609735,0.220285652511338,0.201399363193522,0.308706577423153
"2",0.0702030672907006,0.00605645679578433,0.0708566617468557,0.00602838665825862
"3",0.146053059959529,0.216876709105064,0.23430567584054,0.338713131970883
"4",0.11738761942271,0.310451081538559,0.242035463098048,0.402158225826781
"5",0.107217818948597,0.256879823203493,0.193811914750843,0.303597359751642
"6",0.102860734553685,0.232766431590595,0.195964237649342,0.286257592874315
"7",0.118511433819369,0.301719453813621,0.269688943956543,0.379762523612546
"8",0.109700743025186,0.22356147908325,0.201318393273386,0.325073339861369
"9",0.105894753498029,0.291001052935546,0.210472301893944,0.35397134964472
"10",0.140715576551752,0.277113309220898,0.259800151912429,0.364649239449666
"11",0.114543747436817,0.268521199103374,0.219384357542593,0.318917342916142
"12",0.107423285493966,0.226677211960981,0.205539950684371,0.279471677497885
"13",0.106398315785044,0.306149398568804,0.241307229842311,0.390321370565694
"14",0.099466056893008,0.194902741458242,0.168759866783274,0.26030025139616
"15",NA,NA,NA,NA
"16",0.104752246655088,0.299704278488208,0.223698645734771,0.301388098999798
"17",0.11771488495533,0.205527441353336,0.198517655074836,0.27972658173238
"18",0.103772969088257,0.289496973285747,0.241103569554353,0.326333577440875
"19",0.107390818879559,0.28031210883281,0.224919609065468,0.295838010336044
"20",0.113074060697931,0.214282689024926,0.207975397221145,0.337699918377841
"21",0.151488354266123,0.288474909373474,0.287564161714091,0.478359491012648
"22",0.11203268996714,0.239880144433795,0.217339710947911,0.290703208695042
"23",0.145624715740963,0.242286046577624,0.252405738483907,0.35880497034993
"24",0.0739294295921113,0.757902515609522,0.180649630758511,0.253839048460458
"25",0.149894583608374,0.264225928313097,0.287525306701876,0.507766641273102
"26",0.0935369712815269,0.393966376470112,0.212365138905077,0.317775231049705
"27",0.107511768845264,0.234408347172127,0.192890743390626,0.288597524078378
"28",0.115341557605329,0.362180994036568,0.22646106896944,0.298938935328168
"29",0.123217316802272,0.315394223858583,0.255590457020002,0.370944783923657
"30",0.114316747808983,0.286975573928988,0.204833398019777,0.319633897776894
"31",0.123011760925707,0.260218214844329,0.207056869412103,0.324439564511981
"32",0.11684450221586,0.299990602664625,0.2196287724658,0.311333872033608
"33",0.104286817519391,0.190385885774304,0.169465992377926,0.279507074933787
"34",0.113336790165979,0.283897013485553,0.236069113593809,0.395840023136074
"35",0.120637432788754,0.260753816416907,0.235483669847507,0.331635740021825
"36",0.107775218754035,0.295912373098534,0.227445314293651,0.43100180288244
"37",0.119953588278645,0.26398206071987,0.24916380779923,0.312849622229539
"38",0.105848162115209,0.268735465380261,0.19692637733888,0.285996482104822
"39",0.123669828693573,0.239405795519087,0.207866915117268,0.331406300896392
"40",0.0921595559933539,0.324509372100523,0.200758252714845,0.314490703827428
"41",0.111123742804912,0.410300069959202,0.266040244048572,0.382016770644055
"42",0.115101094803269,0.253513201162824,0.218530543453859,0.299816086886883
"43",0.112354944737935,0.253083311158519,0.199874347899092,0.352100364151553
"44",0.121693884250498,0.222634605060004,0.208556077315122,0.283090033035839
"45",0.102856165525807,0.221103865138763,0.192930952586832,0.272037986428393
"46",0.099967070068858,0.295838842059896,0.189608084745445,0.285784308933623
"47",0.14236137537355,0.292792133290639,0.299439341240117,0.363232683119628
"48",0.0961337014600434,0.29852320184924,0.207315607578034,0.267234909535574
"49",0.12170742277919,0.238088494636961,0.203979976466087,0.341043810116521
"50",0.00761726526557075,0.0077589738412582,0.00770256726705412,0.00772248800575923
"51",0.132119366577954,0.280220368386967,0.235634860653108,0.414299973827817
"52",0.111131462939946,0.210591131399693,0.192657182190272,0.308376418322651
"53",0.12752697201955,0.263486498577996,0.257170563074316,0.347714035227827
"54",0.127663301970532,0.234237997595806,0.229352786718368,0.375916097952503
"55",0.106303513296297,0.202988398701441,0.189645098122327,0.260230740980446
"56",0.113416065693725,0.297055035376211,0.2259018246754,0.316277389786464
"57",0.120141553307006,0.255648253833356,0.233576163051194,0.324821672835167
"58",0.102736685382872,0.419514881322472,0.222019786715286,0.324929966741009
"59",0.095233250222819,0.456184724537517,0.268578356714143,0.363358623810147
"60",0.113821281398114,0.249562017721597,0.210407474056007,0.322136334481962
"61",0.0127387070146734,0.0132372773670635,0.0130350534937035,0.0131637640694208
"62",0.124362141294456,0.332772056314237,0.270852265755654,0.384264360951878
"63",0.100382905076331,0.240705869987634,0.205215279911659,0.3503267550985
"64",0.0965793140352162,0.30086485941914,0.214159121917217,0.273740729552384
"65",0.126606958313373,0.240249610377658,0.210839078387546,0.335322500146476
"66",0.137177266382928,0.229530031211795,0.222030876185436,0.389226514887781
"67",0.106542452912514,0.258492394209645,0.196067678089043,0.326192732757457
"68",0.0849503821066349,0.396999000733858,0.197514270511516,0.335739487405478
"69",0.0916963435080659,0.414713202566809,0.257723635244098,0.399390897810042
"70",0.132185328798234,0.298052471601375,0.264469114286585,0.373199163159021
"71",0.12576359659015,0.288405573949371,0.236104171791265,0.333756831115272
"72",0.135204652212081,0.286099180561717,0.239173694328332,0.32537440007729
"73",0.121170860171449,0.234578236107739,0.212483716516964,0.411682031233955
"74",0.0995248423591142,0.306819338961073,0.19869762614147,0.266640713907862
"75",0.100882187399802,0.255834173084788,0.211564632134995,0.272971665005914
"76",0.125826303001463,0.275627470293871,0.216553583754403,0.343549412344481
"77",0.0995159337135876,0.339857393755044,0.222259160119346,0.31173832127079
"78",0.124540163267943,0.287751435520157,0.251509730017276,0.397511365807014
"79",0.118225187797801,0.217889832274421,0.208273742450661,0.331607429143012
"80",0.165963755719331,0.323937124089432,0.30250105399721,0.428923940025553
"81",0.122836040406564,0.297314414358516,0.238347152525253,0.472870072500453
"82",0.115406000216437,0.305107370708338,0.243335436402754,0.310358188760153
"83",0.165852602838433,0.358796168520107,0.327819194022398,0.436262162551485
"84",0.100673022835378,0.368282208869923,0.224042999382927,0.305428228316516
"85",0.125765256151569,0.24074416587018,0.233770667126517,0.347404148735272
"86",0.118420710603245,0.264262783351524,0.210572875014376,0.364234856836505
"87",0.103097638842317,0.268172600904924,0.192434590526533,0.29321475933242
"88",0.0954279432347725,0.409721755070194,0.221355149047131,0.345702776339643
"89",0.107359121144989,0.362721245922768,0.236579494029019,0.35663093401625
"90",0.134950077038602,0.233794497022358,0.237398235544254,0.344674682436387
"91",0.104671239385049,0.280076259056754,0.214694435102759,0.310513537257039
"92",0.132869019865916,0.252305445052869,0.249251236363512,0.371896515728909
"93",0.123881191167991,0.251688811479217,0.227536409118992,0.314399287280259
"94",0.00803719675269309,0.00818003221774077,0.00811160419009622,0.0081326152569819
"95",0.0772332371029207,0.0254152512810542,0.0829533870466303,0.0252270580162786
"96",0.123400658645889,0.266540854014275,0.266846697060351,0.373297729958657
"97",0.118206087277522,0.414987131144328,0.255442898144978,0.399294199198484
"98",0.112733615582978,0.256598711657926,0.203855983533669,0.281049889782494
"99",0.11947434608374,0.298897711632156,0.250027788300458,0.353664199512145
"100",0.125483966336094,0.289533199896608,0.225555412656736,0.304292209044088
"101",0.115142165140506,0.272497285226696,0.222145138028711,0.299163116757598
"102",0.119711840318234,0.252351544230595,0.210419941411841,0.315486391421907
"103",0.110030807584501,0.309247630219342,0.237454674450011,0.334240825821378
"104",0.113531190220486,0.251166904374524,0.214346612212956,0.365282976845803
"105",0.124052726667927,0.421212581185864,0.278362583696523,0.405700815919759
"106",0.11472266219548,0.246005054235591,0.200243327167635,0.310158750768334
"107",0.114590542668847,0.26887118341967,0.223521977810592,0.440729824657201
"108",0.112988761539197,0.327553550069893,0.234014986529238,0.330954788699693
"109",0.0992262667302623,0.309025511178221,0.194732722391862,0.305199152349597
"110",0.114803376148229,0.290470736548947,0.231757956664215,0.312530222305162
"111",0.0992776181886104,0.237966161396338,0.18174628839001,0.356029568487235
"112",0.112574361900071,0.247908376607171,0.199878440840333,0.29333423836976
"113",0.124721850218562,0.23974997720827,0.226231288927081,0.335019582600459
"114",0.104933377231108,0.233975426393303,0.186154097313008,0.292981669843345
"115",0.1251738481014,0.316001889974524,0.273026540243828,0.330486067853267
"116",0.117643838890902,0.302741470987322,0.226108276376574,0.338032426665617
"117",0.111995623131527,0.243360388107697,0.206305315926027,0.303474241929083
"118",0.0932357101825368,0.406539574301029,0.237104610388996,0.315901137884936
"119",0.103244373794148,0.333720812416449,0.236204976105541,0.313240472077064
"120",0.10368333197386,0.221317955934335,0.198900491449455,0.266932220278891
"121",0.111903798113013,0.25312648399786,0.218388698304593,0.315759190984047
"122",0.0938405424437211,0.320961625115674,0.202591827480729,0.270335770437183
"123",0.102427423392119,0.298459629941648,0.236964726955582,0.316732653099225
"124",0.112118515768108,0.253033007333842,0.22051782948845,0.324266103328557
"125",0.121623538016338,0.230349066846814,0.2072837744468,0.31585076729178
"126",0.11212422278702,0.25779133653368,0.19983113627294,0.261842618166549
"127",0.137350223947094,0.21965308958509,0.228558888043739,0.342890885261567
"128",0.0885968020639427,0.365184532687183,0.209576144638198,0.31807442285773
"129",0.00835988401367983,0.00854750672479456,0.00847493372658541,0.00850338815768143
"130",0.104422738159168,0.292717207015139,0.24694164300479,0.340489461224276
"131",0.108592125663022,0.224085956553633,0.201839282040511,0.297071008262889
"132",0.141211273630909,0.259670757213355,0.254343377032266,0.443567434455929
"133",0.110927800628261,0.204422838796691,0.190567865616334,0.320908441976614
"134",0.0991307151550414,0.305386372335938,0.211785696246146,0.256913276254559
"135",0.120229350302307,0.330703896206987,0.265590484695301,0.366058078180243
"136",0.134214021238947,0.258588724304857,0.227138636109147,0.358402850660775
"137",0.0904362575585651,0.320900623707856,0.204064786323191,0.266929141245446
"138",0.11385485698297,0.29847568020911,0.209227965064206,0.324456719477077
"139",0.0959128304259106,0.392658798912676,0.229356175619279,0.324191643883093
"140",0.12729243438314,0.315392827817683,0.257388813477628,0.37665321806246
"141",0.125252228159715,0.275982178927383,0.249131272237388,0.312774987822373
"142",0.00977130211209022,0.0100433578750432,0.00992906297115459,0.00997421273435203
"143",0.120969092233477,0.269304967644557,0.251246921373953,0.457659181224086
"144",0.134620495229022,0.321913495095542,0.251313221764891,0.336826061924932
"145",0.0859598513194372,0.360175147088801,0.22866513215105,0.263632566109645
"146",0.102597237561912,0.29872996482103,0.199477991669732,0.310119439005971
"147",0.146891269990005,0.32293208730842,0.29183649842625,0.371074391189516
"148",0.130093734080731,0.25631080504965,0.245968462848087,0.398030391143004
"149",0.112571312233558,0.233298178500739,0.222106287865511,0.353572327811929
"150",0.121355391730728,0.262313236541575,0.235268991950645,0.308352283867285
"151",0.157629645627554,0.221727057296912,0.248113460668288,0.404176088161846
"152",0.100929471880753,0.260306640729845,0.184261559487475,0.319633881437161
"153",0.124485956803725,0.308584799718455,0.254424388837722,0.381251313531483
"154",0.102679775935516,0.325347590539778,0.224898338818862,0.316239713659999
"155",0.152232006108722,0.222222902801305,0.261318903401783,0.404912639659956
"156",0.128302667525398,0.229721976250487,0.218182266370873,0.348700591892666
"157",0.105541838852398,0.218480561947946,0.184810474366925,0.268496687553382
"158",0.133676079087983,0.208837075323605,0.229629446682574,0.359558954868289
"159",0.110678043792269,0.233446309869272,0.211247357332151,0.346299793686065
"160",0.120167191795825,0.328033056720172,0.24914009924052,0.34015566114676
"161",0.109660598858508,0.262898561745643,0.211240866707975,0.344568657628714
"162",0.0799860807176727,0.0108502005990487,0.0804041818458502,NA
"163",0.104891408233973,0.276363738029782,0.213799735329436,0.328120381486747
"164",0.103114144479337,0.364605800239323,0.234112779172631,0.364087473681271
"165",0.115286740776057,0.22076300393506,0.185421190494296,0.295120049024019
"166",0.101123730343863,0.318059123929454,0.196166918660941,0.307733653286516
"167",0.136818319720367,0.269625645346555,0.261724741521888,0.361363325710867
"168",0.104642010293188,0.209284669409988,0.176269745266982,0.253398685142385
"169",0.106671346404874,0.273162656083718,0.227078512751347,0.302372176627823
"170",0.129044809488393,0.180584385497969,0.19583321057371,0.326770588217372
"171",0.124206895543511,0.246135810245131,0.230616594358069,0.34552288156179
"172",0.118707987248428,0.243695211633948,0.231449428564963,0.408450839609951
"173",0.134929609683519,0.285542649366672,0.27100354063443,0.377037207896097
"174",0.122436783391017,0.268556644186035,0.232726625365224,0.328164310045649
"175",0.195191638676248,0.288237390234507,0.321466906313441,0.493538578265066
"176",0.122270226034577,0.317902550935822,0.247002132368881,0.398508473443298
"177",0.120412469883008,0.181601428529591,0.185238152071082,0.357357561920159
"178",0.120505866022418,0.272358752249258,0.224110131919105,0.30416848079821
"179",0.117385261186512,0.324276571100159,0.248288867861406,0.323426360788401
"180",0.0976124472064991,0.397532523671142,0.240570178372486,0.277500373117225
"181",0.127700743691044,0.235567673183049,0.218733622277513,0.372439342236432
"182",0.160488054319788,0.224023447096401,0.290146754386264,0.52503193624742
"183",0.115986236490085,0.293476990974403,0.250023094719836,0.347356510934729
"184",0.124020665110129,0.227988405478511,0.231227054842031,0.330540279387529
"185",0.139707358416767,0.440747549683304,0.297454337211188,0.418852898995453
"186",0.117457110986697,0.267698589375425,0.20001402584766,0.311194527801541
"187",0.15555331036643,0.270323012076709,0.282800210430078,0.412646832325574
"188",0.118396697527131,0.235732286735667,0.226777437459528,0.310853759784477
"189",0.108280284124686,0.346792810361315,0.244749061527092,0.368081631935511
"190",0.0961612761466519,0.296433681283608,0.199336036250077,0.27833990469014
"191",0.115079121166455,0.238096507549706,0.208706712746768,0.310539952114617
"192",0.129529144705665,0.330526282750319,0.279143076653875,0.491813968122349
"193",0.123426924921476,0.191258586666845,0.204095477296478,0.31935930520834
"194",0.131418492430949,0.329470762917215,0.27270339204678,0.365151125184664
"195",0.126491359504018,0.237570124622522,0.242490201040837,0.339233566512162
"196",0.11823631085378,0.271359644870041,0.232743787838909,0.337177434637554
"197",0.123679897172818,0.288326069173802,0.244365812233307,0.422344543743573
"198",0.140909065376654,0.222687832399995,0.237650807522224,0.376696634153347
"199",0.121023859782554,0.304799472291084,0.232179938330781,0.349099593740578
"200",0.116478289657091,0.242753037037077,0.205573157623351,0.31421291732281
"201",0.135581220176727,0.243492496989447,0.229585030659025,0.347163236868913
"202",0.107958783043877,0.232941147051829,0.195472178845791,0.278950549221581
"203",0.107007852470166,0.315781370729907,0.221681060145682,0.288395971011397
"204",0.113744003476048,0.255378887134748,0.209866293138521,0.33682446190588
"205",0.129174848171664,0.211863556578799,0.218221707915685,0.374968536351737
"206",0.117470125942707,0.261916483377218,0.210788355958884,0.290933231260529
"207",0.110169639402346,0.314836936314973,0.236449240431601,0.344796960594731
"208",0.0914460995536002,0.374282858271464,0.210678394892566,0.294731496331026
"209",0.128165554393224,0.220263630537401,0.216546194827489,0.316097931718935
"210",0.136845171075646,0.216887358209074,0.22259825046569,0.357289602541739
"211",0.0964157552239502,0.275080379365508,0.188379065925498,0.326706412401487
"212",0.114941025348359,0.326309479430184,0.238197018305018,0.317371887176075
"213",0.112899988203492,0.201972786375882,0.17537223712098,0.302287273604148
"214",0.097224230267308,0.318319256150133,0.231883626479907,0.330720448297627
"215",0.117873662592994,0.304354961923875,0.231281897321862,0.360680706137067
"216",0.103592870242296,0.236545769796955,0.192744505571884,0.314640736462019
"217",0.108204281510746,0.238897389301595,0.210527703143591,0.342804755288369
"218",0.129073182543065,0.379299594679095,0.263716674056762,0.388547794336411
"219",0.15819319794952,0.26696819155261,0.285640625986027,0.388662934350387
"220",0.125008776367744,0.312555628713539,0.267143485310626,0.3468993291035
"221",0.106102375633999,0.306213052878193,0.232966054789547,0.276175333521049
"222",0.115969778201614,0.238516743993874,0.210168659759338,0.32796204074366
"223",0.122171068447075,0.261057005803966,0.245880207605159,0.380930202325864
"224",0.101900024368328,0.291350669843775,0.208612976535423,0.310545995639608
"225",0.112632453070154,0.351526274841502,0.261531697560618,0.344065447484662
"226",0.111708682328217,0.270920502628199,0.228321640690152,0.360058306236955
"227",0.108462248374756,0.340618360032744,0.225682499968412,0.290205714694362
"228",0.112367232574983,0.261209846648388,0.199389184484791,0.343053611268186
"229",0.106719475218652,0.208089692651767,0.185878513381685,0.272394935455041
"230",0.111207352241945,0.254129329347662,0.219958097544288,0.304204192697045
"231",0.116205860818635,0.221073074224118,0.203860794709534,0.330696390838526
"232",0.132726527329636,0.276909168291388,0.238242194458811,0.336310023316746
"233",0.103307562834732,0.331148410681172,0.204321503895464,0.293086500952534
"234",0.113303895879665,0.250224705317317,0.226561079661332,0.333677225628049
"235",0.116957359045726,0.270336106344037,0.213892270781581,0.297431821639448
"236",0.117614985392355,0.222346689309117,0.2209698791905,0.346311023693169
"237",0.103369217532766,0.319776809722558,0.222360112210722,0.261812610290095
"238",0.131073701101052,0.177791195276381,0.20069037885038,0.350437342062178
"239",0.016882488528275,0.0178529125471743,0.0174078102572056,0.017714950163635
"240",0.116828111417147,0.299757601913413,0.234090860832221,0.301399533580231
