"","tau","beta","kappa","mean_E1"
"1",0.966509510831926,0.167606113060885,0.605321810460325,0.393635892209505
"2",0.954354812205552,0.203913541167731,0.616289366663095,1.50522675788475
"3",0.919632582125665,0.210285955126358,0.573128890065592,2.32279386631578
"4",0.852585979987528,0.19144290709724,0.693064035226582,1.21656210953652
"5",1.14819363391966,0.162459235634061,0.57695671118097,1.34599929178002
"6",1.39775565739255,0.115562783249619,0.511058621626917,1.79623570445591
"7",0.91847496465061,0.199844161849603,0.683526760353841,6.41594742069054
"8",1.27523762890125,0.00802929748436065,0.47034524167851,3.73396251527211e-05
"9",1.25824777788335,0.115433021917477,0.525680404075745,8.69665610089624e-06
"10",0.980921085198266,0.16227255549436,0.589278206114778,0.325399683845225
"11",0.878150464652251,0.278236876651107,0.636777410297832,1.85614768260226e-05
"12",0.71872096008063,0.375820908754341,0.708837219263394,3.53353411071818
"13",1.11321313876468,0.273667960728784,0.57219014878216,1.04752161227168
"14",0.872307872669299,0.218862420898661,0.67022989279631,1.81563897755387
"15",1.15271732850396,0.000609263887026645,0.580030687615598,0.840353834837024
"16",1.14865125594624,0.0757942541787793,0.554533659140772,8.6173391899781e-05
"17",1.17005906205511,0.211016222297075,0.509422691094526,4.38476660501898
"18",0.885790722585998,0.27554688790593,0.636443647200274,3.7567207478788
"19",0.950486284988554,0.221889682248717,0.648362810613093,3.42586327632691e-05
"20",1.167106759994,0.154145417629225,0.563557547748857,3.92544161478495
"21",1.05835001243478,0.240700434043593,0.600281495539547,2.66974748867907
"22",1.03402103188634,0.253077553762102,0.581047344513429,3.30620329545788
"23",1.15377660438671,0.180930066521066,0.55906444671518,0.64312166099101
"24",1.13825108527609,0.148350019715995,0.52898317422553,0.00035972110837366
"25",0.797323969342443,0.246033106581552,0.611475232601131,1.13091890660303
"26",1.09230728628206,0.164842212052895,0.535554384551795,0.000116159033058986
"27",1.10274756834677,0.143863294876496,0.615715382819062,4.28323703853141
"28",1.09528748013456,0.225803322768104,0.600088241931356,2.54917557343255e-06
"29",0.987319482455022,0.195679479556964,0.624137982179081,6.62832453244139e-06
"30",0.84176948277053,0.283220368730893,0.653070529801826,0.00789306634271442
"31",0.83984057952586,0.224861574599436,0.671144765794648,3.42091098578425
"32",0.897167849468792,0.386269393793513,0.581470351212571,2.4333413677362
"33",1.1591590569097,0.112535116098981,0.548905742461061,1.90164557788647
"34",1.29567269922486,0.101506967075586,0.5419429479584,6.19869536246949
"35",1.22716457309274,0.272015565355875,0.501689989067894,1.19993102589405
"36",1.05444555483267,0.0253228508702099,0.564724521796789,1.98818828385251
"37",1.04590928969411,9.78340368384956e-07,0.584183078328777,0.953048305721035
"38",1.00995999580592,0.134392316642608,0.648208456980931,0.000183472600811035
"39",0.752491573989406,0.213179862206315,0.660487771061596,1.28501083202572e-05
"40",1.08498659272808,0.145346830266381,0.543215820540341,2.24591729087544
"41",0.88226070615922,0.249383490916288,0.698433520454231,3.12352598375608
"42",1.16238613265874,0.155538944027807,0.58385917868183,6.54513225819349
"43",0.924449955137499,0.191164321072048,0.649232360128441,3.36064446751208
"44",0.970787790251077,0.143842264308266,0.612166971540663,1.57979740286742
"45",1.07018467285597,0.143178005368313,0.635877761982423,0.867863111084333
