"","tau","beta","kappa","mean_E1"
"1",0.122892711687217,0.057887710149526,0.0543583283619685,4.29045060282434
"2",0.115198777367064,0.0718839141119028,0.0524133555165483,2.73717421359474e-07
"3",0.119519725293087,0.0704421631928264,0.0559536282054772,2.65321669668507
"4",0.0947763790099181,0.0575294914069862,0.0574259429347914,5.17533943979529e-06
"5",0.129132210612949,0.081344714445512,0.0560288117602289,0.357207864505066
"6",0.122002712995511,0.0662253252056273,0.0614455775190047,15.2259177845543
"7",0.15150073084721,0.0607674785485863,0.0636237924702456,21.3594364273283
"8",0.150314844564155,0.0844617950821731,0.0703128247893631,0.0479713662001156
"9",0.129574452147354,0.0687287484039261,0.0557985221675146,4.8777581919556e-08
"10",0.137085420253981,0.0763716754044433,0.0571589756768773,0.00472572661970215
"11",0.105694952012083,0.0544411657279879,0.0636981721117283,1.06565950927557
"12",0.105297254258246,0.0659698281556081,0.060640459303102,10.994396863723
"13",0.14157967899771,0.0693033477789191,0.0676972905958959,7.531752632051
"14",0.118206192373933,0.0588009734107991,0.057099207151583,8.70501864373253
"15",0.10252545323232,0.0533259846086281,0.0560801974313295,14.6359521093182
"16",0.1245209978468,0.0722166967961927,0.0522889997702346,3.89776610940625
"17",0.120088367036084,0.0628087743043788,0.059537080745257,10.5888292636723
"18",0.123361770729856,0.0641764325365759,0.0618728698002326,10.5467484647705
"19",0.132237707354423,0.0671906160248772,0.0685909538040455,1.35231855906699e-05
"20",0.145895845446159,0.0625467918972411,0.0620231111667437,20.0714349385674
"21",0.143032086262525,0.0771009941341521,0.0681333065988451,7.57907412515556
"22",0.124981751463,0.0798499709811292,0.0589146888270976,17.1753145579684
"23",0.130712457925492,0.0692870318886136,0.0597767194961072,1.34383866324113e-12
"24",0.139126668795688,0.087171834978171,0.0576963184815997,5.68209782443322e-06
"25",0.129585383824971,0.0803103661996716,0.0611036429512695,4.74470288021474e-05
"26",0.144048949131272,0.0779704450877929,0.0687761467050282,1.01549857549594e-07
"27",0.137084075288314,0.0707384160088525,0.0668039229198149,6.03701033028728
"28",0.125043266478767,0.0660634661044299,0.0682643899682249,1.49866363666625e-06
"29",0.0651806389490753,0.00142191505454881,0.0226793035366629,4.8231185947375e-06
"30",0.128909875396785,0.0764789606373985,0.0556456369461615,3.93609961923316e-05
"31",0.123391829669333,0.0678894316031115,0.0560552910187688,11.0697313675006
"32",0.121494844642146,0.0702804316241142,0.0671396913328287,12.2184768683093
"33",0.126635824670321,0.0701788286318788,0.0730571181563992,6.53272898430608
"34",0.144890034211053,0.0735995868649017,0.0596326050592217,24.0912651052825
"35",0.0998596070796101,0.0583233082084981,0.0532960701715559,7.61243671341635
"36",0.127302566835034,0.0663102425064996,0.0609755664966147,11.1858402231066
"37",0.103321410633999,0.0571973089241884,0.0512959840660324,0.516295275971268
"38",0.111396275654078,0.0574908668031179,0.0635199425273459,0.000534780139015738
"39",0.103534249848659,0.0536383890911931,0.0652460482462816,0.227793534693885
"40",0.175589645422014,0.130344463698892,0.065633456699259,6.6437744349129
"41",0.130127954227174,0.069556109314055,0.0560407336261285,10.3374983191436
"42",0.104369340534105,0.0611391052054988,0.0564421601394327,16.4009031448768
"43",0.11483122760929,0.0735671224165352,0.0536947105865311,3.72155659081677
"44",0.113891186694216,0.0526467391046647,0.0816989977096716,3.70579795816055
"45",0.127412661507872,0.0676467508390573,0.0685612189946448,5.87083497096251e-06
"46",0.126654188920315,0.0735899711558809,0.0589334644898031,5.84759294532592e-07
"47",0.130082652218128,0.0616731552029526,0.0606970637116426,29.5187315765081
"48",0.131090122938824,0.0776057703644212,0.0782922919272448,1.7748641644525e-06
"49",0.115092667475862,0.0569906780269769,0.0629797047603406,1.65030663912593e-14
"50",0.119443050929234,0.0788967261298766,0.0534229537708107,7.26768826982349
"51",0.092894156074149,0.0519868715350233,0.0619699269943539,14.9900414123993
"52",0.158959131783938,0.107899230471097,0.0684307242842664,7.18283395414783
"53",0.135644219628914,0.0833005326798861,0.062963079147547,0.000181147637843888
"54",0.137428118068103,0.0765963508809127,0.0642273547649254,6.97543537246926
"55",0.12000762040158,0.0612794947162203,0.0606668216790186,0.351840629121724
"56",0.135237087429869,0.0816073795802628,0.0672778112267257,0.920288427769326
"57",0.128460513309484,0.0687352193331116,0.0563601089434634,1.32073672115191e-06
"58",0.131582488195368,0.0848527285342587,0.0671264100183408,1.44661632418472
"59",0.11804764189018,0.0689053454457756,0.0608457277184819,1.67683421993718
"60",0.126988425108792,0.0701058049284038,0.0550547403894883,4.76965425040183
