"","tau","phi","kappa","psi"
"738",0.760102791080962,0.877791570713752,0.808441836925161,0.580933576633823
"739",0.838420959774551,0.853600315381003,0.83391026945829,1.04617359877679
"740",1.10009111648863,0.899060842700235,0.800273943992624,0.64007424988856
"741",1.26514478828358,0.953021861481985,0.741173324819235,0.807368739354677
"742",1.58288964999039,0.999999999999998,0.674570384459212,0.395768127483293
"743",0.891597267818997,0.779820020141529,0.789120797583019,0.509930662036949
"744",0.889492937249522,0.904449588463848,0.809774820947493,1.35908738211884
"745",1.09164842180549,0.846276525376291,0.799329334226932,1.01938514166145
"746",1.12155275959205,0.900392831589596,0.804334829101178,1.05802121295279
"747",0.963866420004471,0.974440295369581,0.815492645481533,1.34073902007407
"748",1.10281554000949,0.921821507218699,0.789378239112015,1.07835342817281
"749",0.576354708328174,0.930945791755483,0.848805165706145,2.19985711602604
"750",1.36362127832137,0.904362782318723,0.673462337566721,0.187255584631155
"751",1.08099501109828,0.883875871884621,0.783627900100424,0.48406153743318
"752",0.918510999636289,0.844289049342602,0.796067717665122,1.19390186513458
"753",1.06510231031081,0.956661943289054,0.806345034488944,1.47151640698885
"754",1.38195828321869,1.00000000000001,0.75583775914864,0.726036309564372
"755",1.48092260148758,0.953688624515993,0.726363155674874,0.512715622434535
"756",1.1412837188083,0.907822527479596,0.814244186391878,1.13468346383987
"757",1.22580470456421,0.756389865798216,0.740954204445433,0.14359734288471
"758",1.00296239095656,0.809524605785926,0.818040204833716,1.08129255349978
"759",1.10075746443077,0.933726609315945,0.764795413583168,0.840901123850299
"760",0.809505415135962,0.876794212065763,0.857280427514816,1.38108762942519
"761",1.09819732175203,0.789432915890293,0.78880820735538,0.0889786468202876
"762",1.29767343981695,0.956894593919132,0.746151518032679,0.569738583514149
"763",1.36730553151515,0.92254175618573,0.750491691329352,0.177957506133802
"764",1.1407037031899,0.87790621414726,0.761359057910063,0.373891862263786
"765",1.04353925402618,0.923456768228122,0.815759312495378,1.0681171882331
"766",0.889691100961576,0.931074314126428,0.838824075912758,1.46257319573675
"767",1.13571235909191,0.860974215928132,0.797483530832399,0.660183343340118
"768",1.4121542832897,0.865738737393754,0.678178148748928,0.0244093138722135
"769",0.900300688488407,0.91646806748291,0.830131945568225,0.823567443801696
"770",1.37956142626999,0.947187135944922,0.7303437399785,0.715514358200991
"771",1.09552014877491,0.879505006609342,0.798617619710495,0.616347310084993
"772",0.535420288507535,0.818922848549778,0.878973714170991,2.1470873265436
"773",1.14736637627875,0.964053393796561,0.77052672474425,0.572630095305828
"774",1.26689641777391,0.88452618207046,0.750020438481864,0.403798296925511
"775",1.00041283076115,0.913010032376156,0.813911303801869,1.67177114704329
"776",0.678121702883139,0.813646017105445,0.862839461390951,1.21005016268114
"777",1.19983893907363,0.872613724113302,0.78310937471554,0.757631865616682
"778",1.45456084877347,0.999999999999998,0.726174539011018,0.536344404231832
"779",0.919797954583041,0.954292276700173,0.804796698942479,1.39611309617188
"780",1.37449883992272,0.94568045583469,0.76020606421446,0.580169892039412
"781",1.02847134616492,0.812159621323031,0.815818168666741,0.465560460038902
"782",1.30831068446588,0.959658260903879,0.74041454673296,0.848882373763173
"783",0.882979996584803,0.927570885973539,0.784639025223219,1.12118724700322
"784",1.16151003854121,0.855955798300719,0.826950232636888,0.84403022950028
"785",0.964311528373015,0.867247569314105,0.809424599135768,1.01246612066257
"786",1.03090085391193,0.846179864495479,0.783968806808061,0.465476738976708
"787",1.41948565877734,0.999999999999996,0.693017807357842,0.29008642965943
"788",1.53400832826095,0.956885966253127,0.737507130687723,0.134668898369815
"789",0.573102527384064,0.838430368810284,0.898601817518743,2.9166186840193
"790",1.26229211761109,0.942775097235439,0.747136995670855,0.57605880634949
"791",1.03966480926166,0.830399325355494,0.816053643088879,0.169624490092942
"792",1.45053735837844,0.955407354226215,0.737030935754452,0.773868497755349
"793",1.08026544188768,0.874572016099667,0.786001299150618,0.734091635622752
"794",0.787474122336391,0.985383869354968,0.79577953258911,1.18804642170923
"795",0.812795334422278,0.954123664800081,0.826177216761703,1.3452843918654
"796",0.729923765151235,0.911429787753688,0.875354548300677,1.68611364625624
"797",0.970374006206406,0.931324743691713,0.821753488940778,1.08450076537239
"798",1.24181892161232,0.843862974296236,0.702344457906922,0
"799",1.34126783476044,0.944234550485449,0.73844230991411,0.740513791596707
"800",0.836874391235405,0.874718046648191,0.809801274719226,0.389024440943283
"801",1.37953695275194,0.930066283486088,0.735720890277406,0.91988677277557
"802",1.15048019427485,0.868138286596955,0.761706670614157,0.194552464798521
"803",0.755986723978097,0.892403230056873,0.851183715752343,1.57682048897932
"804",1.5252643507404,0.943944052618499,0.735380924576614,0.63607652321003
"805",1.27267144851799,0.89445525058628,0.777815738736385,0.417547478971689
"806",0.886063298570201,0.875020297821757,0.835304219596617,1.52917480799299
"807",0.603882243408422,0.779483055428689,0.880371980307365,0.733602833880167
"808",0.968910647876823,0.932014581698418,0.814668965593569,0.487191649296217
"809",1.2051608290256,0.91289776592466,0.722057004376014,0.562143883214819
"810",0.899098786886898,0.94034982861442,0.778982599093683,1.29379030804598
