"","log_tau","logit_phi","logit_kappa","logit_psi"
"1",0.135624375605782,0.318149024936474,0.290184933651635,0.477336831314367
"2",0.15764323977911,0.197217945986122,0.252719664750792,0.635758476618224
"3",0.125687342563941,0.241833655334794,0.20926522100273,0.467114653576401
"4",0.11520392514908,0.307290719685177,0.239962499494624,0.414780848680525
"5",0.101526267575388,0.324410028294911,0.217569640084164,0.423899423289609
"6",0.103037476816065,0.372144547041272,0.234141673645918,0.365984898226212
"7",0.11163927491482,0.231548843088188,0.210693059849508,0.380918080877824
"8",0.129638671257515,0.372510402770256,0.314293207224471,0.509290855322
"9",0.102230690902568,0.351312044331171,0.22348034117651,0.433840097612262
"10",0.104173067753823,0.224792040872312,0.185222503590675,0.373725820765911
"11",0.132306506966475,0.218248506366553,0.229510534945925,0.47543715624983
"12",0.106975238046069,0.267928440066508,0.184989379001227,0.370775353078487
"13",0.0837206393840764,0.00726922854921476,0.0847800381803506,0.403910376650422
"14",0.114980350987235,0.254560980899102,0.206000097342783,0.454841913059009
"15",0.112644312730666,0.264199791615891,0.214278067859661,0.452107087819283
"16",0.108948522434239,0.273850608288375,0.225342540938524,0.428362905395451
"17",0.106530408448229,0.28471869115352,0.211980174325791,0.406689132371441
"18",0.0972454799422013,0.315086544268377,0.2129608320062,0.451321608244312
"19",0.11337116577256,0.350135055652248,0.256325201928526,0.409708760968744
"20",0.0959970234117506,0.443796547024659,0.248846354228743,0.411738621657123
"21",0.0138806600528166,0.0145235249910598,0.0142599335934725,0.0144613679410931
"22",0.120916418944688,0.190284474224728,0.197920043278741,0.500389672832406
"23",0.125968669483473,0.263070093294403,0.239342771786315,0.457993119344697
"24",0.120278893450318,0.506819268919358,0.313343656705511,0.441886217617347
"25",0.102839441921684,0.307792295717078,0.220102913279679,0.40132770670795
"26",0.149861486774478,0.252719884454142,0.286911460321224,0.670502679654499
"27",0.0864115228337547,0.297134916782363,0.172320837205404,0.362195751140748
"28",0.125208998810493,0.222674045402892,0.229143272598901,0.430944323808159
"29",0.118806752202345,0.259177209682539,0.230889483110917,0.410206417027963
"30",0.095701344801295,0.365354262456213,0.228023143052018,0.349007839520021
"31",0.099750224572604,0.24689105390021,0.188998287446004,0.419187536349862
"32",0.124578093897075,0.264849154372205,0.226851612164922,0.410157745909307
"33",0.114662079406393,0.265958001476184,0.229138020915129,0.420762584544363
"34",0.13985200267531,0.229383190311586,0.242925515045052,0.503030281233877
"35",0.0993428479167618,0.276879510537335,0.228371925930919,0.371477808893145
"36",0.108128541052166,0.45386919748511,0.274766063908878,0.3533172208768
"37",0.100269607206511,0.276411211867922,0.187255766400861,0.380675307266814
"38",0.119388756851946,0.210419486126354,0.203584035549303,0.573829370252036
"39",0.0140562164425791,0.0149277309047955,0.014656252470231,0.0148272260551743
"40",0.110751173998659,0.304193956375661,0.236911475257591,0.432466660214431
"41",0.120722018465357,0.253262283358452,0.226986573383777,0.46630690394949
"42",0.115082900058905,0.287436966809455,0.229807778246262,0.431936061625242
"43",0.104482564384738,0.27289666712514,0.206028972582379,0.484577989218795
"44",0.0081524200410102,0.00830970054952243,0.00825457496279756,0.008279739037083
"45",0.104027493045103,0.225905191501707,0.185914777437157,0.41380243146285
"46",0.116509917372293,0.292906802450255,0.236156021495964,0.447165372787065
"47",0.0180151573875028,0.0197440216786371,0.0192545417188244,0.0196765507709867
"48",0.11118329617265,0.273914099356438,0.225485869713104,0.459574549992966
"49",0.103629588169851,0.323411420759074,0.236000383077325,0.398974779427264
"50",0.144010341419521,0.302491786749748,0.258203869674824,0.565850555325875
"51",0.124854455158411,0.359640818345447,0.262420313573908,0.398013361240599
"52",0.121351401284512,0.272052757095584,0.240397712377321,0.407988956691092
"53",0.0930108049496251,0.309488880382737,0.203702997280092,0.327490043736223
"54",0.165298498517373,0.366341730674879,0.337028698641246,0.550506772070379
"55",0.124978606435103,0.214944433565725,0.208764509648122,0.506501748425926
"56",0.118365731306161,0.289292125558921,0.236130371264901,0.413558804439988
"57",0.127923880688607,0.334191068585669,0.270211180039404,0.466510822339236
"58",0.112636882367002,0.250711624753936,0.221159769084597,0.382996587098942
"59",0.116557384157593,0.262368779364748,0.200139473856356,0.453119301407592
"60",0.108476068025921,0.217477399821843,0.205204910599725,0.487225144364783
"61",0.113171554999686,0.30937274460068,0.236538512270767,0.39242649429689
"62",0.0970945249370256,0.295427200648989,0.199997595813672,0.381030588370409
"63",0.108647946429277,0.267808070288306,0.212459975260412,0.411303100142513
"64",0.114174645361759,0.259459485094888,0.224604849368203,0.447315586465236
"65",0.09748162469575,0.268990171043939,0.193754399255187,0.359571704405062
"66",0.15430649080774,0.266410483726888,0.275532474355303,0.548279703507193
"67",0.127033411660202,0.210834313233253,0.2057645202664,0.493011325007871
"68",0.101295032527938,0.249227497289363,0.177605929195539,0.448361317371115
"69",0.00767853570001596,0.00780637438391296,0.00775847137444388,0.00777666133291244
"70",0.108433469013113,0.387647910389674,0.245258394518374,0.483678993375547
"71",0.0972982480285067,0.310074646188287,0.238761025560003,0.353195882942763
"72",0.127176204592965,0.238687777789868,0.238587631781752,0.47833007561482
"73",0.158317818666286,0.22607861716275,0.256184936355777,0.595044319453199
"74",0.100826087091129,0.329710815291339,0.215432093345481,0.347460646205586
"75",0.113196304307124,0.227932241945392,0.198136471161498,0.420822932906904
"76",0.102989316506958,0.328832872688905,0.23522291471492,0.446459590583354
"77",0.00572660097864211,0.00581501295685183,0.00578032490536188,0.00578416749634306
"78",0.118630633312391,0.30435670579629,0.232924353310966,0.461070751810968
"79",0.0888181604485511,0.377316834224941,0.213771335110999,0.37758851255303
"80",0.129573059015897,0.244993189091526,0.221488786936814,0.473386907033581
"81",0.0966271220672746,0.280935295291952,0.1854769634056,0.348290238164013
"82",0.0944339284455362,0.436857597747802,0.225428616833203,0.344426058268179
"83",0.116106428484594,0.295108692992942,0.263407960775501,0.369486220562902
"84",0.109733283300722,0.350405447688332,0.238252400765435,0.412402696432819
"85",0.101797361397485,0.258918554122488,0.200745458773445,0.403084371712766
"86",0.149719875983786,0.218294848138696,0.237589845127665,0.728299301620849
"87",0.00837537496704234,0.00856389002161422,0.00849896755522698,0.00852793347545312
"88",0.105558936676969,0.384429771108821,0.285051600804376,0.375667585091881
"89",0.0971305089691934,0.308117635740616,0.194068363945494,0.358981781327132
"90",0.112469647048942,0.324213679890132,0.258690218474505,0.393645638577879
"91",0.0961992240454638,0.31126067945515,0.213485751522918,0.346657835029255
"92",0.0998071244913625,0.306302353494989,0.221896465714747,0.392212737256579
"93",0.138565150211315,0.228024454295013,0.226012649974153,0.5319039837603
"94",0.0909372357914339,0.305729775847425,0.230614519199131,0.354300762937506
"95",0.106370676212393,0.27307222672041,0.200566347547739,0.359835249889011
