"","tau","phi","kappa"
"459",1.11482593115718,0.891183649928895,0.794236631384795
"460",0.823589363359799,0.897534759748502,0.836945285416789
"461",1.03564458717912,0.932107166625488,0.789074422163113
"462",1.13435378525219,0.902337765708523,0.773717577248715
"463",1.04964735137517,0.903471335971546,0.796894862350006
"464",1.08068119510116,0.896628690225092,0.788516400175899
"465",1.35504204455757,0.940762043117716,0.739915154595475
"466",1.12514730889923,0.929446505923914,0.774429168223891
"467",1.30679313857458,0.883071700857064,0.744417535972115
"468",1.10407592982588,0.873604674272395,0.786899067781147
"469",1.32510718895972,0.90146269475238,0.742747585136921
"470",1.20862342955136,0.910797534465731,0.759573616560302
"471",1.03522596296754,0.902745363321695,0.797491008809166
"472",1.10415197393552,0.84378795452212,0.790602697907166
"473",1.03969948688111,0.925894805974001,0.792723387782873
"474",1.0384282406147,0.901650238568897,0.796346687465247
"475",0.856745735597113,0.901171753657482,0.841519471772639
"476",0.979448700750586,0.915069886439632,0.808888058390129
"477",0.787674339840912,0.918593102230004,0.842117791172397
"478",1.03642421383091,0.925630602593902,0.794441845729688
"479",0.857257130719872,0.866938177444718,0.819410758222062
"480",1.21184854242855,0.897928292401841,0.760882292338486
"481",0.880337898864894,0.820027534444724,0.824598944238914
"482",0.943114701902623,0.887564864263629,0.802695669058029
"483",1.06927801816412,0.918975880255011,0.783634557231056
"484",1.02110375243153,0.865764072245891,0.811151516102917
"485",0.917942642670626,0.937695508490126,0.810459912725454
"486",1.35549412611857,0.948959556492036,0.737815449493508
"487",0.940299794044566,0.896145549873486,0.812689284054867
"488",1.08683378459334,0.899072568340235,0.789046237462472
"489",1.1474398572473,0.907211968545996,0.74787082899422
"490",0.823456561819129,0.899158824149416,0.825723478980078
"491",0.871396047866771,0.884035310878792,0.817546891150174
"492",0.989190639028996,0.902620321111286,0.802832242569465
"493",1.16367185970676,0.89934197537536,0.775179316130843
"494",0.976258559136211,0.928737087830215,0.807215924341191
"495",1.02415352989476,0.901569085900875,0.785786753839205
"496",1.11899429761379,0.875275628339314,0.779203966532401
"497",1.14085280499599,0.933326207582432,0.766122836204185
"498",1.02643348320669,0.94177334029315,0.795571901372896
"499",0.908798058512498,0.893702464020753,0.824251003962
"500",1.10742505743826,0.918466843595392,0.785424325239632
"501",1.36278716894728,0.936705204398843,0.737875135805486
"502",0.879278110019761,0.889508056053315,0.820774946999641
"503",1.09340572312903,0.921346966565755,0.765413919088386
"504",1.10020187438255,0.918531062514462,0.794776744192772
"505",1.09117387463188,0.92805426999847,0.78298053408276
"506",0.843143450746315,0.91719912877138,0.842960802617561
"507",0.836076465582452,0.902628484067014,0.839770704181209
"508",1.06914755139232,0.88664804732414,0.80123674448925
