"","tau","phi","kappa"
"1",0.70121004652465,0.323637483223575,0.635545713864527
"2",1.18044232085093,0.623504587986569,0.406216136392892
"3",1.18513600285504,0.977500657229973,0.287778844438079
"4",1.62999812049642,0.758448748377066,0.269714103720243
"5",1.25775423240228,0.773605265440121,0.379805605324321
"6",1.1290514424901,0.585838696335281,0.477290998847177
"7",1.12818285117382,0.101224726010665,0.50604953976628
"8",1.38251083643076,0.715046870324995,0.294637328351654
"9",0.964385788758277,0.569686660810057,0.579238312060089
"10",0.491297285125567,0.445588324529095,0.71957917515664
"11",1.18013266733639,0.670557724990136,0.31227700038672
"12",1.39893729188016,0.89185567847154,0.284796885541838
"13",0.519141660728361,0.193396152909666,0.741463316370338
"14",0.637672773009021,0.177834156953093,0.718839165339938
"15",1.21362847204442,0.63899459867147,0.418760310323553
"16",0.799367006662626,0.383031899432911,0.608920251143529
"17",0.59623279071142,0.162352694296634,0.692028517194514
"18",1.07500093086535,0.697484767031586,0.444730924139801
"19",1.14461982820916,0.652274431354879,0.493531049464974
"20",1.40152007028824,0.776131826540561,0.384217895303938
"21",0.378821018579574,0.28984664159266,0.827494982431888
"22",0.395384856958042,0.249883115808061,0.799906448907873
"23",0.328031810230524,0.295093332356926,0.830562081492498
"24",0.768105667091663,0.48452193142591,0.587926144264129
"25",1.13209388548262,0.709649137215765,0.266778571578612
"26",1.61996475202896,0.654639368669671,0.188394412811143
"27",1.12476187780112,0.648987727850113,0.452936829863269
"28",1.44523500239512,0.434271118657776,0.353651608946728
"29",1.08068383659234,0.495796638858139,0.449753647356241
"30",1.3488930493463,0.569489234703948,0.252276580184976
"31",0.321665438467207,0.295337915234822,0.830702400806733
"32",0.995803031458685,0.669657591936105,0.452855477220503
"33",1.24543634471537,0.418426680265549,0.412530026077655
"34",0.936792889903806,0.50453879919102,0.601025174657663
"35",1.40428821501402,0.757352692350587,0.328734122842246
"36",1.36021745011142,0.920341532647375,0.303167289901935
"37",1.40128222844183,1,0.2835980427189
"38",1.27297108197587,0.639714010165088,0.413917549734866
"39",1.35913473116703,0.965035999005198,0.280119316119157
"40",1.5823584803266,0.901481614797498,0.207235230297293
"41",1.27429936397317,0.567541081059499,0.454495135285456
"42",1.06584649820005,0.578347912833187,0.496291825047233
"43",0.272129905164507,0.445377707576567,0.870167029978766
"44",1.17121354237734,0.591666936138839,0.439073973957212
"45",0.834231933519406,0.550652964342013,0.626908795384881
"46",0.593675420547018,0.463991179933546,0.691436891607579
"47",0.373425791282738,0.275824547753355,0.818725344037506
"48",0.974318623788428,0.445723040298603,0.508911983977607
"49",0.269998525058196,0.365187180110512,0.863083912242294
"50",0.947033233599515,0.69442299742561,0.441607763207833
"51",0.365299901187345,0.225020591937811,0.777798113633002
"52",1.86733416172943,0.86206060851746,0.17374594613742
"53",0.942937549390047,0.651270647591929,0.521836942499976
"54",0.782351596567388,0.315508575076723,0.626740650492658
"55",1.09684759423155,0.626514556103042,0.495005711679764
"56",0.215273415693471,0.503757111677902,0.896899705127648
"57",1.34003855546652,0.644073562547584,0.367906341761077
"58",0.403713413764858,0.219958012224289,0.772683888645913
"59",1.32425052166751,0.690639844901873,0.375353527515324
"60",0.928885988446883,0.587010137870603,0.576238143956714
"61",1.04158800513142,0.698094693602338,0.452947476296523
"62",1.55541357769343,0.881212790535145,0.26631435014461
"63",1.56799376151814,1,0.186725227428348
"64",1.26764300863856,0.699509340388532,0.43307557753195
"65",1.2361689123817,0.670352330638148,0.374408445150963
"66",1.19243279208851,0.804238517232613,0.363016670892889
"67",1.32068577506979,0.677933225297959,0.303435772642516
"68",0.544761240242114,0.336638145092133,0.723190426706243
"69",0.46750001202407,0.217754005094568,0.770383098220005
"70",1.76109008466498,0.0568965783593413,0.121212532602304
"71",0.390936263144612,0.249145472503713,0.799314033293321
"72",0.481492522097142,0.387659032044395,0.777909353276226
"73",0.345998119388759,0.323701181375956,0.845536553844304
"74",1.07490150984147,0.586889982252039,0.443632758881224
"75",0.358937815505891,0.253525808841689,0.802781420051708
"76",1.71102631309286,0.782784038115484,0.139322780134378
"77",1.4578132705659,0.632690034690726,0.320049780519638
"78",0.977028704927432,0.554390474963577,0.458409808798541
"79",1.57956109728715,0.849954706501544,0.143405044855123
"80",0.504169599619204,0.195172418317806,0.743816260356096
"81",1.04249644567354,0.486050426455345,0.464837553555676
"82",1.20154339341232,0.799847535072617,0.356775485325311
"83",0.804856672038825,0.132694433319984,0.623194441929389
"84",1.57174613877957,0.708439413622956,0.262783236970183
"85",0.884487300326461,0.467014199498201,0.515083716926282
"86",0.8413574366331,0.413238715682778,0.602383063973015
"87",0.729599229750237,0.460623989236445,0.637376128354753
"88",1.0357070014337,0.701660259820966,0.51237900120824
"89",0.30098801273021,0.327587796954492,0.847369161901516
