"","tau","beta","kappa","mean_E1"
"1",0.236371855194246,0.172069992214741,0.0768135207804303,1.8641600971147
"2",0.1576370911945,0.105713528755051,0.064194778303608,1.4200253182062
"3",0.153233233536056,0.123521695933124,0.075339594233379,1.38947565785987
"4",0.173420787421909,0.111827778973779,0.080833594270411,2.7923885255214e-06
"5",0.177019839221043,0.111659872988438,0.0929330133468974,1.33320692927419
"6",0.195214268498279,0.0906235052733738,0.091443644773059,18.9191203693598
"7",0.203418209465219,0.102045253695875,0.0818964208092424,15.1312825894926
"8",0.192998656080498,0.106521993377746,0.0879709546769841,1.20198122573681e-06
"9",0.260674489098425,0.156166585558466,0.106576053991463,1.17622781326464e-06
"10",0.101121962001445,0.0680293060759967,0.0576403655003795,1.55347927484428
"11",0.132460424772964,0.0717255457454287,0.0831500292711084,2.09221774757258e-07
"12",0.126546796021747,0.0717750873770036,0.0958441264357306,7.23659320241878
"13",0.218295525018154,0.0959876000541794,0.0932788954231724,1.70597465297538
"14",0.269823135437804,0.15704674363002,0.103528196227766,10.9688944619047
"15",0.101110241189479,0.0739734567606249,0.0774003399592833,8.90471704804054
"16",0.159999486036023,0.114353910157293,0.0853226094064417,1.43459067960964
"17",0.208885207780573,0.119431325866939,0.105954758199858,7.48265933421946
"18",0.190251645725061,0.0870306842340483,0.102077323111974,13.2015445824395
"19",0.226140429034545,0.0869076688179557,0.0945927655352469,2.38235785109507e-07
"20",0.167566767257594,0.0839744487760553,0.0773259141541578,26.9815539137082
"21",0.195205583479376,0.12266452762097,0.0851555809021852,0.0232248458710189
"22",0.118115029346614,0.0682655359576265,0.0665267101647414,16.7693556473066
"23",0.12196603336775,0.0757926891401841,0.0725769410473122,5.71572798524896e-07
"24",0.166587964022138,0.0974854873644227,0.0773697100346032,1.16974259816757e-06
"25",0.137598677838542,0.0696646306610553,0.0857734399348428,16.0360454377039
"26",0.285178822660044,0.197320897245354,0.0939543910914823,6.84691939434847e-10
"27",0.187226875572204,0.0879013023377287,0.0858361799829531,7.48186824895001
"28",0.210184994638015,0.0944194382405446,0.0944411830709726,8.56577945964809e-08
"29",0.200810100452714,0.124406978392751,0.0961504479959478,7.82345705555108e-08
"30",0.177335249140976,0.17665977868502,0.0618202897613437,1.59151141187805e-06
"31",0.178320850958119,0.10477450802781,0.0749653153311897,16.2285759213386
"32",0.134396133239902,0.0585393887883452,0.0931624736225338,24.0443420018784
"33",0.0963846275201148,0.000745873886212411,0.0309079732247781,25.9369685292089
"34",0.21389549982938,0.100586682097095,0.0895163764421457,16.4809292421961
"35",0.289016812634545,0.141436119240713,0.105688491942308,8.47585640122227
"36",0.203309694142059,0.110112982189636,0.0792015454329177,3.47293999502713
"37",0.184820062218069,0.0842216242320046,0.0825949785785278,2.48846270370496
"38",0.196042757034551,0.0891692995230495,0.0942725929057095,1.89181311750939e-08
"39",0.177772379145185,0.103609811116326,0.108994425099058,1.91485063208531
"40",0.19415394252662,0.102502008143264,0.0877782605914663,11.5589033876012
"41",0.207524584107549,0.0971134463482533,0.0992395239396002,15.0926686804072
"42",0.257379486751815,0.112385132119845,0.124361944294761,19.0491794084406
"43",0.216554828531967,0.114677988947219,0.104437973608288,8.06174242959242
"44",0.194295627556516,0.0851566027474974,0.111875338917829,2.42633709799833
"45",0.155263540358785,0.116735312528462,0.071633001688391,5.48205551791713e-11
"46",0.196882437536418,0.125261503932189,0.0927875782414694,3.73486604010286e-06
"47",0.202408340305017,0.0682718615540777,0.0998031492749476,24.3326435086844
"48",0.0864024058902792,0.0015087325829578,0.0356179361003364,1.6877653339196
"49",0.149557085640935,0.0775324128905274,0.0780608880523483,0.517526354971489
"50",0.169703666785616,0.137327141483367,0.0768425778758364,4.1731861855433
"51",0.107854993404512,0.0663385227375137,0.0750800690040721,17.2231347406455
"52",0.0954828119060682,0.00113394804111967,0.0293431334962505,13.7765716290449
"53",0.218787851895183,0.116715558215747,0.0780799743068184,8.61129312239544e-09
