"","tau","beta","kappa"
"895",1.35575252379618,0.118577051657999,0.442535968833808
"896",1.02246209006866,0.335828176779547,0.568945155957562
"897",0.491858855581275,0.308610685169811,0.809357032720436
"898",0.887149139514106,0.328408314792695,0.660875711194914
"899",1.01472566619589,0.176919799764179,0.562618247329359
"900",0.79121705337546,0.253006791360558,0.670874769810541
"901",1.22801262776873,0.260557897467171,0.56391597025258
"902",0.782740641055677,0.156947315235864,0.686903743577729
"903",0.905933608698462,0.286421237289277,0.629929081414027
"904",1.04224003203749,0.130074446206628,0.59975421196717
"905",1.16763908187597,0.00073836453746301,0.526120502485401
"906",1.23062065848877,0.0554164367443694,0.503781992544852
"907",0.958376354738069,0.2386032334528,0.581860229171872
"908",1.05775804879842,0.154125718608432,0.536071031228763
"909",0.488090631198653,0.337065519176675,0.811693429321507
"910",1.23647616149687,0.197975226688015,0.537246945547578
"911",0.642686609986666,0.416224661212692,0.733987330303533
"912",1.45544130053105,0.0416047503179839,0.441074769381316
"913",0.824019575644755,0.252225977601675,0.663390696223548
"914",1.06300665563887,0.419495983986729,0.565765255049479
"915",1.12073030320821,0.117559213358313,0.487783225224765
"916",0.630118742879006,0.533605313232182,0.753859866062888
"917",0.68197823681071,0.162475042258917,0.717256120725244
"918",1.18034472234978,0.192001657764373,0.541079034856227
"919",0.752249427125084,0.124830480670951,0.709331751497262
"920",0.880351549650238,0.253038231490731,0.643870732342137
"921",1.09336970799863,0.139106656701155,0.517914590829527
"922",1.05783853553899,0.182187647456516,0.549472514676752
"923",0.906598659847675,0.149988120808692,0.608549801447463
"924",1.01678215736827,0.0347333847907449,0.597791868129638
"925",0.762870828109565,0.240441157967344,0.631819098402719
"926",1.09558839020184,0.0757618548726311,0.549511352713058
"927",1.00986375870751,0.208367381429992,0.561691076949867
"928",0.858504450614857,0.397991736304676,0.66040172048463
"929",0.85971439386824,0.124861093692086,0.667293191227461
"930",0.646615191220057,0.34368864781212,0.698407093647362
"931",1.2685296363748,0.00465838257191531,0.539720741518579
"932",1.0649615022071,0.22871314938499,0.587224223950735
"933",0.857863954670604,0.308489540992526,0.644335010501408
"934",0.533212079702242,0.440376840315389,0.779299635884834
"935",1.12017720488438,0.127137782572117,0.59177215565438
"936",1.14285737499034,0.277397461145816,0.518999421300363
"937",1.32522720278054,0.207058552671867,0.362871537124742
"938",1.3740195786705,0.109857684272176,0.403637335646483
"939",1.20413699897308,0.232351306866578,0.547316917679295
"940",1.03580370706762,0.354638728554627,0.60283600189125
"941",0.620238705872215,0.361951758187763,0.701808314484512
"942",0.888549584051088,0.229031646235412,0.644010583312865
"943",0.891729174529114,0.237305468107877,0.629680575361663
"944",1.2097494738501,0.329241152213594,0.508231921199146
"945",1.31478626117261,0.277155792180111,0.504975052269349
"946",1.08439030632179,0,0.521029016642319
"947",1.30552353173809,0.25371484675556,0.499415823720057
"948",1.02927922337224,0.0263729586701732,0.587628516277148
"949",1.24486083163602,0.0259628289401015,0.527028559408808
"950",1.00865562114598,0.182730091828704,0.622509123822611
"951",1.00618198592703,0.380354536362357,0.573651700878376
"952",0.712911167223803,0.207073756957162,0.706862184529686
"953",1.35960107826738,0.0254645673790471,0.494196027430291
"954",1.14095063646207,0.206353257964906,0.615063887833309
"955",1.16085724064022,0.110501359558533,0.47614745458474
"956",1.32887811765449,0.0609637366620999,0.455377820633405
"957",0.726226250460778,0.284053978219409,0.715428585242642
"958",1.16524001547146,0.308830669020481,0.563907179838526
"959",1.07339906374851,0.204840422258844,0.651040616466673
"960",1.32302588329137,0.0830945639413447,0.493481667958894
"961",0.899059573595664,0.0519207013641242,0.626636389702797
"962",1.06792420183011,0.200472801263095,0.531612192179775
"963",0.791314386878632,0.297137038966348,0.66695522437768
"964",1.09739697182256,0.112639916483093,0.548767692507172
"965",0.755691041089613,0.257033618599615,0.690797446362679
"966",0.808155526382435,0.193872683078363,0.679303362546653
"967",0.974856822355654,0.1983580181865,0.574669798274147
"968",0.860765889114134,0.11314558977524,0.604427440664461
"969",1.25466724366763,0,0.488308628194277
"970",1.55842717797131,0.0227672022369152,0.439414684182984
"971",1.19041629633123,0.254680140018189,0.572407939536195
"972",0.953093424955205,0.293596405615022,0.608103032501972
"973",1.50804478218783,0.169239774936095,0.401569530877844
"974",0.727722586929673,0.257204707936649,0.694747237026144
"975",0.720971109102186,0.154402361815789,0.669279307751291
"976",0.872915091327361,0.172746689329661,0.682345308832838
"977",1.29307554691936,0.14541160384223,0.501128261219381
"978",1.28671782159657,0.000340232878374702,0.478639456403333
"979",1.23374713207263,0.0394080968740746,0.505710283624749
"980",1.15161811739204,0.20276103911356,0.559779007113136
"981",0.944680717646781,0.303322687300853,0.632133676928824
"982",1.01048064240275,0.298024662037396,0.581061093531199
"983",0.915202403565489,0.205545867516982,0.646366922888142
"984",1.25645626732066,0,0.491724810954425
"985",0.904803159338057,0.161263902143377,0.607290295426191
"986",1.02347415267528,0.123818318556737,0.598952134531632
"987",0.868459837176345,0.302205525704978,0.648681295640637
"988",1.1946282105282,0.16480494256439,0.526692468095008
"989",1.24694397577317,0.202879886746705,0.492286654815484
"990",1.43639974265459,0.138112903333793,0.47729267006747
"991",1.17136332689053,0.132311240887827,0.516764304088065
"992",0.894833305834653,0,0.62211431341442
"993",1.11839147838883,0.0638193155715693,0.560380708180491
"994",0.842636551420954,0.155532404978193,0.659127608648481
"995",1.43451355381983,0.354790265771691,0.46232625419047
"996",0.919108088957435,0.21190240731333,0.644308015109352
"997",1.39508569330991,0.0897650026384198,0.452478142343048
"998",1.26777858073863,0.2265364613644,0.49611344167781
"999",0.716806808761006,0.294406647702303,0.697804886694348
"1000",1.65825309517631,0.0316595265974488,0.370920677095481
