"","log_tau","logit_phi","logit_kappa"
"611",0.182215573702242,0.651067821518176,0.251024987371733
"612",0.19232473990956,0.443407676785407,0.240260450262122
"613",0.181298277583496,0.465074819613891,0.231640084022695
"614",0.198938362626848,0.400110321941681,0.234844504241441
"615",0.103927885063296,360.677633244273,0.131312978146477
"616",0.174129161014856,0.542355781011024,0.221784124830022
"617",0.168409352429333,0.725426440202975,0.216453992937966
"618",0.179653897482088,1.30486373005405,0.241121287869115
"619",0.149167835005087,0.367629994115055,0.187979613058871
"620",0.164987705193581,0.495116178159348,0.207048494473809
"621",0.170818693795915,0.687736263989949,0.209225956206708
"622",0.0981180171266039,NA,0.134213693600039
"623",0.101869851376769,NA,0.144447444230351
"624",0.185173263122975,0.380709502667371,0.227708801050537
"625",0.183398686859553,0.49866358449041,0.227331117352528
"626",0.168962859375665,0.450724497276328,0.210043203219121
"627",0.0964816448014007,NA,0.130472029452772
"628",0.198427198053958,0.291038121054306,0.298839487467365
"629",0.177998151174115,0.326733647127635,0.209392735264426
"630",0.169622859621094,0.513705102101423,0.20285492172973
"631",0.161329788416716,0.654748374680151,0.213504071275155
"632",0.177195363162043,0.784810992415914,0.220316224140302
"633",0.212302987847455,0.414614310949611,0.261754255956342
"634",0.211621211091537,0.581626780269894,0.248442056728364
"635",0.169304933896467,0.464085441643388,0.201102728174325
"636",0.176746726779499,0.419540979363698,0.208754774186315
"637",0.164576876291864,0.776427415657303,0.21765199983019
"638",0.152385777079536,0.484512915276461,0.183424330220709
"639",0.162578798912533,0.596007499372897,0.214396596651129
"640",0.178071824864925,1.12362416904207,0.263596986285049
"641",0.103057030310886,NA,0.137492037834288
"642",0.174434035769713,0.359889382499286,0.217699175920052
"643",0.189477485454565,0.546206313435691,0.234583659549979
"644",0.174198784933044,0.927446254249725,0.223157875560464
"645",0.1589283800497,0.669632142736682,0.211133849365399
"646",0.167161306157473,0.370679991847883,0.196532544224921
"647",0.101045634373057,NA,0.1348268265212
"648",0.192729246506311,0.362051754110142,0.234152754657273
"649",0.219378225012311,0.435865037834537,0.268634836788141
"650",0.154238639997296,0.600734029744455,0.206974028884863
"651",0.174543138187579,0.520728382602721,0.206685046459259
"652",0.179201334920529,0.369985100728864,0.212884871560674
"653",0.177515080889659,0.508529296081327,0.221146611571069
"654",0.15136523436224,0.473736358718885,0.185873684278707
"655",0.219902342109129,0.347192984825571,0.250809314648004
"656",0.185747982886053,0.311799132495266,0.219864344062718
"657",0.191302690276998,0.565737316959487,0.237008845386502
"658",0.155744041553993,0.56000516906788,0.203750265054703
"659",0.211053676178794,0.389025696468514,0.263625311158885
"660",0.221185051055072,0.323164266310561,0.265445386775396
"661",0.183718812655377,0.496832547891443,0.216636473249984
"662",0.180474505501809,0.44058743978569,0.220073723758346
"663",0.171834827718816,0.58467394715886,0.210579330485173
"664",0.153644833073752,0.836725839633472,0.207505345758838
"665",0.184875067623976,0.484533477385693,0.225095446514385
"666",0.107139756356871,NA,0.156043553243934
"667",0.185804741369876,0.592958494933486,0.227516189796364
"668",0.177718043273581,0.958421284417881,0.235448752936576
"669",0.182761203488122,0.502536123034513,0.221309093168523
"670",0.152259086037987,0.513813675632365,0.182503355131232
"671",0.134569257666153,11.4553893394037,0.17651588382529
"672",0.176120459688991,0.554423409383653,0.210784973062119
"673",0.165004567792435,0.587962303862708,0.212271166223463
"674",0.166158381568995,0.355358127670073,0.210091161010123
"675",0.155188757433808,0.474212544547707,0.201688271292454
"676",0.216566021008691,0.272027246486906,0.240415351372061
"677",0.19700891811639,0.250094935696242,0.223727371122629
"678",0.199651525467996,0.422991978199961,0.244014358596373
"679",0.222736697267443,0.266039770583479,0.258477096274573
"680",0.176285581279746,0.629594266202358,0.220238191845868
"681",0.191586461336036,0.400928075737435,0.23183632182816
"682",0.159433687126547,1.4878883839577,0.20973999780202
"683",0.0991625886572767,NA,0.129627118964558
"684",0.18766452942276,0.648833174348244,0.242038571286474
"685",0.199054236010852,0.415960606324025,0.240979472769272
"686",0.173340114296853,0.526549699270936,0.220869269615621
"687",0.175996699459487,0.537070236598835,0.232081120534593
"688",0.183322168472332,0.636103659001998,0.225022859704496
"689",0.199143645299534,0.349918687255904,0.239488532223241
"690",0.203977418368744,0.317452939557929,0.243262195310234
"691",0.098467401751171,8388.61063752322,0.135439503325103
"692",0.100164710694066,NA,0.135770546919174
"693",0.165953428508671,0.776639958687563,0.211115887405842
"694",0.184698912229403,0.549696618791235,0.233759609865694
"695",0.177674144683165,0.5963567369161,0.219309410454981
"696",0.208672033663218,0.289488863816616,0.237740357264266
"697",0.219036174186585,0.25501224197837,0.257366117434022
"698",0.150201645320531,0.683096535427045,0.180349123671181
"699",0.168453187498996,0.545702863324291,0.225111073225661
"700",NA,NA,NA
"701",0.165770923606284,0.427699123279075,0.20002713586907
"702",0.209656444739908,0.30976316729551,0.231956978619666
"703",0.226782048481039,0.294119312006402,0.262140993007504
"704",0.198714951740155,0.299702063743576,0.236731642357411
"705",0.172999237338798,0.35797009201091,0.214917224466423
"706",0.153779622090076,0.580341994270491,0.199037706364698
"707",0.202670741195417,0.521118741336596,0.255088442254521
"708",0.307198317185904,0.683700592317226,0.391825949228662
"709",0.226731035945163,0.276297679959307,0.254386966704017
"710",0.200962064347011,0.320142218768574,0.236699959343006
"711",0.161195249981847,0.456535934457436,0.207926429157906
"712",0.167501686855626,0.414907752776459,0.204088621577148
"713",0.158308494967625,0.446297359107967,0.188499968410867
"714",0.180843780951696,0.453960629455882,0.240866017425301
"715",0.175135698474993,0.381184472576763,0.20805706563692
"716",0.171321366107817,0.321825031640487,0.19557703858544
"717",0.158285029083788,0.579082132895632,0.198407668515385
"718",0.143451946613351,3.30289085721692,0.188382337632264
"719",0.101683821571489,NA,0.137719808571315
"720",0.169119387227221,0.637049258243812,0.217153477403891
"721",0.178377474773665,0.37265489036103,0.198637483827331
"722",0.207349274202586,0.320133729287365,0.258498723932781
"723",0.183771856580094,0.327312475778105,0.228579403148754
"724",0.0965456044830281,NA,0.133883672040491
"725",0.184446372760691,0.357620653727971,0.220466142146106
"726",0.196161993808824,0.315666749132977,0.249122392329427
"727",0.171913209487184,0.638613356349111,0.213272542457858
"728",0.226928079486968,0.304726505379231,0.268845967338603
"729",0.172662401028353,0.349436374396453,0.208410067251996
"730",0.160525652690266,0.497629816297653,0.19904734990157
