"","log_tau","logit_phi","logit_kappa"
"1",0.114900525900666,0.469592262461419,0.147685745434773
"2",0.110692220418704,0.400105762936582,0.143660284430486
"3",0.103757233940917,0.543970065739185,0.13190957751157
"4",0.071094115855044,NA,0.0936104885938134
"5",0.122685508425767,0.307723662981612,0.152463640853186
"6",0.119970736213697,0.327974248792871,0.146411543605938
"7",0.12182731534247,0.287824848329651,0.153135255610774
"8",0.119296923881839,0.366801248239807,0.151998865864684
"9",0.114617697591708,0.498034959574597,0.144171407691765
"10",0.112149022516779,0.373650512262743,0.146006908902285
"11",0.121342205671943,0.313368368970108,0.153583660115371
"12",0.157663788491876,0.20186925210204,0.179706746103667
"13",0.132045728597637,0.310235711132065,0.161441862991795
"14",0.119997323899969,0.230004286124643,0.143805204759948
"15",0.125561661566143,0.227777287232507,0.150728459152568
"16",0.120380977048958,0.411172064374003,0.155057232911769
"17",0.115096282924438,0.482349019905565,0.147137874398468
"18",0.144183601530286,0.34488081444119,0.178777102321099
"19",0.130646863730439,0.390555511687884,0.158230938837937
"20",0.13509584645696,0.257863331678641,0.165813645127926
"21",0.12873449441923,0.278944271795527,0.155149388802167
"22",0.11845519182398,0.229764122162134,0.145173150106537
"23",0.127674437656413,0.273831708600866,0.159519178246005
"24",0.109660960238399,0.400751703558919,0.139116405796534
"25",0.110744921414893,0.267142472571637,0.138200277064278
"26",0.127585928358678,0.487275336233022,0.16335925368144
"27",0.112931581167215,0.287563791611964,0.137535069833071
"28",0.072132345534513,5931.64162485022,0.0959817976467479
"29",0.0704574000044117,NA,0.0953471115968874
"30",0.124292356114289,0.354070825021154,0.154119511897194
"31",0.12022609392101,0.383390897497845,0.152114585018992
"32",0.114514657132652,0.302269536460132,0.139955059474749
"33",0.120871097164594,0.332216560002537,0.145453041659585
"34",0.129401476447549,0.404307271149388,0.16108942438477
"35",0.1224164141667,0.489580790604627,0.158343716864158
"36",0.114682557379045,0.53080546283222,0.144887508074147
"37",0.111517547672406,0.437787873627353,0.142830179897468
"38",0.121993134687425,0.274246735776732,0.151447003290237
"39",0.121470431547063,0.264133917777883,0.143791498064917
"40",0.133653766736442,0.304022020619669,0.163880439925026
"41",0.11281082200018,0.362604613134249,0.142929110503105
"42",0.0708991380554079,NA,0.097966000804474
"43",0.0698222255328254,NA,0.0969126636220794
"44",0.12631587388953,0.259214623772639,0.153614644275841
"45",0.104971168327343,0.833054410930284,0.136675972980443
"46",0.135238963164659,0.269775173374671,0.169141707704089
"47",0.137203556041131,0.306163934667423,0.168174141912213
"48",0.127557486598948,0.37243121070411,0.160858181907914
"49",0.127148976503189,0.239079042028039,0.149592595876638
"50",0.117183809242494,0.469903172941359,0.149213756577003
"51",0.0704461699205978,NA,0.0969914087664872
"52",0.1369619950396,0.264044598030079,0.169909466043476
"53",0.143048528862286,0.454417231490147,0.181429032213647
"54",0.126362086116273,0.2309265108206,0.153237854828264
"55",0.132342553245737,0.309249463065544,0.162001466057541
"56",0.111003085272159,0.331790402267104,0.134912847450457
"57",0.113695433621271,0.285175847308622,0.140466756014949
"58",0.0716413169640599,NA,0.0962311114252795
"59",0.118259970756789,0.390125086545242,0.148736837579539
"60",0.0705753437104896,NA,0.0933880799942037
"61",0.11955267361421,0.322929739985425,0.146050668711041
"62",0.131161562169491,0.269621363053647,0.164026762286319
"63",0.154516101157285,0.29245754116682,0.192947868296983
"64",0.129380417061485,0.242403342951592,0.151916565346897
"65",0.109473282765689,0.378779042187602,0.139673248516501
"66",0.121133815727708,0.332824548722943,0.146155295043354
"67",0.0720626784100824,NA,0.0945952050624967
"68",NA,NA,NA
"69",0.125089875239262,0.279418713613151,0.151777865685856
"70",0.151814878087434,0.472216087681731,0.192776064124687
"71",0.137170738432665,0.231735994811879,0.160555267081863
"72",0.130145809840816,0.260408968235206,0.157471330669134
