"","tau","beta","kappa","psi","mean_E1"
"1",0.126000387651105,0.0839744288802031,0.0788459230273484,0.236220725536983,2.84117139480866
"2",0.20648812118521,0.121184402894992,0.0720706452396331,0.0413123249694602,9.63556541461981e-08
"3",0.0890761768900565,0.057748273209808,0.061745467314866,0.373688803551765,0.000114237321157458
"4",0.138197524247911,0.0857483039092728,0.0783806567909194,0.237274599414558,2.94586191988825
"5",0.118916010990214,0.0930656926428087,0.0705339106088965,0.161071115593192,0.439628736409918
"6",0.132394849456594,0.0797671684002431,0.0646958448932558,0.101457119110394,3.82332984470211
"7",0.187491506094929,0.106844006307621,0.0742137456721243,0.026326030149766,5.6948837874047e-06
"8",0.1264524566983,0.0880749109015982,0.07111487418156,0.103735009895419,12.4516610083016
"9",0.00248403498444853,0.00113796065067978,0.00107638851447913,0.0021491545923132,0.395168154215404
"10",0.190414032694591,0.102051114568162,0.071887059120324,0.0573907049303508,1.10394226141872
"11",0.10997323485151,0.0673973003053087,0.0708200897387302,0.268401133844543,4.13362227457068
"12",0.118053592321363,0.076160087271654,0.0621066611009468,0.29297345186783,1.19967603037695e-07
"13",0.247133529454892,0.110185570573726,0.0869634248607668,0.0724860763717669,3.8856303194677
"14",0.129088794249738,0.0759222875196478,0.0613825295025912,0.15942088873301,31.6466384618021
"15",0.121468650508345,0.0641428145885434,0.0633153711182697,0.30840903294797,32.0617856957784
"16",0.151485456540549,0.079244313934435,0.0697339956954992,0.0721719992728711,0.164997323290509
"17",0.104818459647866,0,0.0397876772820721,0.370516422842922,14.5420626529773
"18",0.133106576053034,0.0984690959503959,0.0665511241104428,0.0814113081558213,4.5240411931012
"19",0.231672020363729,0.186272142302991,0.0764383488009961,0.0280172124991311,2.51946484073619e-39
"20",0.235952692353952,0.115678364057874,0.0687211094894511,0.0412038908896987,9.19700200594925
"21",0.199528023036425,0.0743545977157681,0.0923812417818731,0.0724239226605445,11.4164292958739
"22",0.15929802209645,0.0830711387746954,0.0876741757380185,0.329093494863371,19.9857525760991
"23",0.151090869188305,0.0781172920809074,0.0758587919321684,0.132736136434463,21.135977611243
"24",0.198753709463597,0.134804271329446,0.0704003966934148,0.0249195754097928,1.6757966205211e-06
"25",0.17453463153263,0.0727034575473273,0.120117657734154,0.226891542131513,14.6158835985672
"26",0.174238778876988,0.101147920097146,0.0740755685043479,0.0563217565472645,0.562899586508293
"27",0.193947544420447,0.0798432263874567,0.0829011783545554,0.11731378499523,23.5702701774011
"28",0.180165770870351,0.128956185084882,0.0901807737769691,0.0696833664265947,2.4833031456348
"29",0.00222676841317336,0.00111324353595249,0.00101621254192205,0.00212522208728526,21.4064925636231
"30",0.117361913615609,0.0890812971198521,0.0774829009415588,0.316672389945038,0.717105409156702
"31",0.00489441351713952,0.00136417821624001,0.00152852970009956,0.00346818539636559,2.46807024240198
"32",0.217538551789925,0.124761687937684,0.0709265746416774,0.0738065163265705,20.9038495682201
"33",0.138908869573017,0.0992942715373606,0.0745945787106977,0.16983846738208,7.91344345628712
"34",0.171604964548452,0.118297787792865,0.0851572112412264,0.0368590958265555,0.205123914267187
"35",0.192429056167541,0.115297067694379,0.0740001774596583,0.0929929667756949,5.13456122285962
