"","tau","beta","kappa","psi"
"631",1.01269044740731,0.436889388414608,0.503095953185816,0.531410599348918
"632",0.952746718401434,0.501307974975697,0.555206947525008,0.486172259300886
"633",0.888439582013186,0.319784752113188,0.52591270970481,0.682106757749243
"634",0.707196438021665,0.55987812018397,0.62779134840965,0.661985612849613
"635",0.829106625307175,0.392068177553531,0.604433861971768,0.713678496958845
"636",0.77202278750463,0.51406230124525,0.606512340721392,0.566895117465139
"637",0.719973576598379,0.620756514347449,0.661029389548786,0.87049402061699
"638",0.694280038136367,0.638637111164075,0.648287721308831,0.449511248199419
"639",1.24390871490549,0.284729809246602,0.349420128187505,0.296354124080058
"640",1.28792659877707,0.301843036719729,0.41029001887497,0.529859090358931
"641",1.09664070291476,0.498866470303951,0.475793163042659,0.344268871721243
"642",1.4221786040108,0.452800421654909,0.302169477914231,0.169102025954979
"643",1.1378860300475,0.410487626903418,0.420037701300971,0.246719077537425
"644",1.28364703692008,0.382252395008492,0.363901369217008,0.465245032745666
"645",1.39898234596094,0.241275117244203,0.28550441983609,0.426043459336684
"646",0.632582501940679,0.848241138973201,0.670529946905896,0.798206547789533
"647",0.581991152027511,0.8190694143147,0.723650924963195,0.926825730239259
"648",1.08742652771279,0.342663089802317,0.459529558790862,0.286821802686498
"649",0.533658849291502,0.735668741503142,0.730202806222699,0.406993223575468
"650",0.660531390825318,0.575315139363806,0.678729868275624,1.15818627023952
"651",0.371568260413008,0.738675203603045,0.808667219148812,1.29563950454734
"652",1.38204684390087,0.241091124830612,0.34500149578158,0.247116792578412
"653",0.758291138166162,0.499645724957733,0.651840616085325,1.16120276810341
"654",1.10590370369651,0.384370751553642,0.456825292879906,0.484580116205874
"655",1.26471373286706,0.216756888179289,0.335759594082426,0.566013255183776
"656",0.91750500336469,0.385151083013454,0.487427372421961,0.574916287224638
"657",1.17474204090197,0.284514240288476,0.393837956190935,0.302445640605451
"658",1.33397167483076,0.159277934444361,0.336992209328648,0.415162421900908
"659",0.842402733272245,0.571497916050167,0.581310768751369,0.627615178531087
"660",1.09903036600255,0.389538041385103,0.433489502060542,0.328389477179966
"661",0.567914572074262,0.827967083776071,0.709357946737839,0.700686476377878
"662",0.43599980935288,0.776146691107824,0.776639441929877,0.690505345854703
"663",0.838609686322826,0.597039034959805,0.574741538375849,0.745936880049013
"664",0.863359926432803,0.616345400140075,0.563959633114746,0.696296529688453
"665",1.13542874688688,0.354338533861898,0.446672150639921,0.369005027921142
"666",0.451204481077583,0.791003848687874,0.760761144709659,1.2463947953922
"667",1.64343465952566,0.162462878375971,0.303629381556922,0.250561224644924
"668",1.23097821934653,0.287781698406021,0.400692200902369,0.334799162750008
"669",1.36310160153621,0.0745897368228821,0.287080752334617,0.400337347416776
"670",0.987993994341543,0.396823013257534,0.510894062207157,0.474026674437706
